Object ID,Item Name,Retrieved Date,Retrieved,Condition,Sector,Status,Status Date,Weight
ddZTZGdrLvYsKnPSUgeahh,lighter,2010-01-01 17:32:48,False,trsh,3,Left in Sector,2020-08-25 11:54:10,8.502149418791765
M5zxhV5EhvQrurNGme8biG,YoYo,2010-01-02 07:00:06,True,excellent,7,Pending Repair,2020-05-11 02:57:12,13.75250374572031
icJYhDMY8fqzog6Q3peHT3,YoYo,2010-01-02 08:37:43,False,Excellent,2,Left in Sector,2020-10-15 16:55:26,12.10160782817473
WyKh8LiYX4YxKpebHqNYJc,lighter,2010-01-02 20:19:12,True,Spare Parts,5,Pending Inventory,2020-05-14 13:18:13,7.80437521408153
Do5Jg9ZEradPSLY5H9FxEH,Toaster,2010-01-03 00:05:59,True,excellent,1,Pending Inventory,2020-09-05 05:09:17,32.4797973335263
h3hYeua2TfuXGt6QRnd5HN,yo-yo,2010-01-03 16:01:50,False,poor,1,Left in Sector,2020-11-20 00:22:22,10.599928357336438
SrLm8HXkiRZUmpbSWjxroH,YoYo,2010-01-06 01:25:45,False,Spare Parts,3,Left in Sector,2020-05-31 05:06:45,13.82384633512062
dKwA8Kmjx5fmaFsMfcjtA8,yo-yo,2010-01-07 05:01:22,False,poor,1,Left in Sector,2020-06-06 17:18:39,14.143277632148973
NKqbrJALAKxe2zCKdgohdA,,2010-01-07 19:32:17,False,excellent,5,Left in Sector,2020-09-06 09:09:11,10.557387715774166
SLtcZ9XT8QUHNzKNSypBkJ,YoYo,2010-01-08 04:40:20,False,Poor,3,Left in Sector,2020-12-16 20:02:53,10.10347466010516
diQvJaTfpsi6mcHvcLHk8N,lighter,2010-01-08 12:04:47,False,Excellent,2,Left in Sector,2020-03-29 04:19:18,3.8456711762772446
KbfBS9z3XzG5gMECkfYJj6,Toaster,2010-01-09 03:10:31,False,excelent,5,Left in Sector,2020-02-24 09:08:54,28.544388095728504
